CURRENT_PUBLISHER,PUBLISHER,SOURCE,IGNORE
10 Downing Street,,,1
18 Week Programme Team,,,1
4 Nations Child Policy Network,4 Nations Child Policy Network,,1
4Ps,National AIDS Foundation,,1
999 EMS Research Forum,999 EMS Research Forum,,1
9th European Conference on Information Systems,9th European Conference on Information Systems,,1
Abbeyfield Society,Abbeyfield Society,,1
AbilityNet,AbilityNet,,
Absorbent Hygiene Products Manufacturers Association (AHPMA),Absorbent Hygiene Products Manufacturers Association (AHPMA),,
Academic emergency medicine,Hanley & Belfus,Academic emergency medicine,
Academic Journal of Second Military Medical University,Ti Erh Chun I Ta Hsueh Hsun Lien Pu,Academic Journal of Second Military Medical University,
Academic Pediatric Association,Academic Pediatric Association,,
Academic Press,Academic Press,,
Academic radiology,Association Of University Radiologists,Academic radiology,
Academy of Managed Care Pharmacy,Academy of Managed Care Pharmacy,,
Academy of Medical Royal Colleges,Academy of Medical Royal Colleges,,
Academy of Medical Sciences,Academy of Medical Sciences,,
Acevo and Futurebuilders England,Acevo and Futurebuilders England,,
ACP,,,
Acta Dermato-Venereologica,Society for the Publication of Acta Dermato-Venereologica,Acta Dermato-Venereologica,
Acta Odontologica Scandinavica,Informa Healthcare,Acta Odontologica Scandinavica,
Acta Ophthalmologica Scandinavica,Wiley-Blackwell,Acta Ophthalmologica Scandinavica,
Acta Oto-Laryngologica,Informa Healthcare,Acta Oto-Laryngologica,
Acta Otorhinolaryngolica Italica,Italian Society of Otorhinolaryngology,Acta Otorhinolaryngolica Italica,
Acta Oto-Rhino-Laryngologica Belgica,Universa,Acta Oto-Rhino-Laryngologica Belgica,
Acta Otorrinolaringologica Espanola,Elsevier,Acta Otorrinolaringologica Espanola,
Acta Paediatrica,Wiley-Blackwell,Acta Paediatrica,
Acta Reumatologica portuguesa,Sociedade Portuguesa de Reumatologia,Acta Reumatologica portuguesa,
Action Against Medical Accidents,Action Against Medical Accidents,,
action for ME,action for ME,,
Action on Elder Abuse,Action on Elder Abuse,,
Action on pre-eclampsia,Action on pre-eclampsia,,
Action on Smoking and Health (ASH),Action on Smoking and Health (ASH),,
Active Citizenship Centre,Active Citizenship Centre,,
Active Democracy,,,
actKM Online Journal of Knowledge Management,actKM,actKM Online Journal of Knowledge Management,
Acupuncture Research Resource Centre (ARRC),Acupuncture Research Resource Centre (ARRC),,
Addenbrooke's Hospital,Addenbrooke's Hospital,,
Addiction,Wiley-Blackwell,Addiction,
Addiction science and clinical practice,National Institute on Drug Abuse,Addiction science and clinical practice,
Addictive behaviours,Elsevier,Addictive behaviors,
Adept KM,Adept KM,,
Adis,Adis International,,
Adis Data Information,Adis International,,
Adis International,Adis International,,
Adolescence,Bayard,Adolescence,
ADSS,ADSS - Association of Directors of Social Services,,
Advance Audiology Online,,,1
Advance Housing & Support,Advance Housing and Support,,
Advanced Bionics,Advanced Bionics,,
Advanced Institute of Management research,Advanced Institute of Management research,,
Advanced life Support Group (ALSG),Advanced life Support Group (ALSG),,
Advances in Dental Research,International Association for Dental Research,Advances in Dental Research,
Advances in experimental medicine and biology,Kluwer Academic,Advances in experimental medicine and biology,
Advances in mental health and learning disabilities,Pier Professional,Advances in mental health and learning disabilities,
Advances in Neonatal Care: official journal of the National Association of Neonatal Nurses,Lippincott Williams and Wilkins,Advances in Neonatal Care,
Advances in Physiotherapy,Informa Healthcare,Advances in Physiotherapy,
Advances in Psychiatric Treatment,Royal College of Psychiatrists,Advances in Psychiatric Treatment,
Advanstar Communications Inc,Advanstar Communications Inc,,
Adventure Associates,Adventure Associates,,
AEA Energy & Environment,AEA Energy and Environment,,
AERC,Alcohol Education and Research Council,,
"Aesthetic Plastic Surgery, Springerlink",Springer,Aesthetic Plastic Surgery,
AETMIS,,,
Aetna,Aetna,,
AFRUCA,AFRUCA (Africans Unite Against Child Abuse - UK),,
Age and ageing,Oxford University Press,Age and ageing,
Age Concern,Age Concern,,
Ageing and Society,Cambridge University Press,Ageing and Society,
Agence d'evaluation des technologies et des modes intervention en sante (AETMIS),Agence d'evaluation des technologies et des modes intervention en sante (AETMIS),,
Agence Nationale d'Accreditation et d'Evaluation en Sante (ANAES),Agence Nationale d'Accreditation et d'Evaluation en Sante (ANAES),,
Agencia e Evaluacion de Tecnologias Sanitarias de Andalucia (AETSA),Agencia e Evaluacion de Tecnologias Sanitarias de Andalucia (AETSA),,
Agency for Health Care Policy and Research (AHCPR),Agency for Health Care Policy and Research (AHCPR),,
Agency for Healthcare Research and Quality (AHRQ),Agency for Healthcare Research and Quality (AHRQ),,
Aggression and violent behavior,Elsevier,Aggression and violent behavior,
Aggressive Research Intelligence Facility,Aggressive Research Intelligence Facility,,
Aging (Milano),Editris Kurtis,Aging: clinical and experimental research,
AIAI,University of Edinburgh,"Artificial Intelligence Applications Unit, School of Informatics",
AIDS,Lippincott Williams and Wilkins,AIDS,
AIDS and behavior,Springer,AIDS and behavior,
AIDS care,Informa Healthcare,AIDS care,
AIDS education prevention,Guildford Press,AIDS Education and Prevention,
Airdale NHS Trust,Airdale NHS Trust,,
AJR American journal of roentgenology,American Roentgen Ray Society,AJR American Journal of Roentgenology,
Akadémiai Kiadó,,,1
