CANCER,Cancer,D009369,0,0,null
HEAD AND NECK,Head and Neck Cancer,D006258,0,0,null
EAR,Ear Cancer,D004428,0,0,null
NASAL CAVITY,Nasal Cavity Cancer,,0,0,null
PARANASAL SINUSES,Paranasal sinuses cancer,,0,0,null
SINUSES,Paranasal sinuses cancer,,0,0,null
LARYNX,Larynx Cancer,D007822,0,0,null
PHARYNX,Pharyngeal Cancer,D010610,0,0,null
ORAL CAVITY AND LIP,Oral cavity cancer,,0,0,null
ORAL CAVITY AND LIP,Lip Cancer, D008048,0,0,null
SALIVARY GLANDS,Salivary glands cancer,,0,0,null
CENTRAL NERVOUS SYSTEM,Central nervous system cancer,,0,0,null
BRAIN,Brain Cancer,D001932,0,0,null
LUNG,Lung Cancer,D008175,0,294253,"[""|Diseases|Respiratory Tract Diseases|Lung Diseases|Lung Cancer|"",""|Diseases|Respiratory Tract Diseases|Respiratory Tract Cancers|Lung Cancer|"",""|Diseases|Cancers|Cancers by Site|Thoracic Cancers|Respiratory Tract Cancers|Lung Cancer|""]"
BRONCHI,Bronchial cancer,,0,0,null
PLEURA,Pleural cancer,,0,0,null
BREAST,Breast Cancer,D001943,0,294187,"[""|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|Breast Diseases|Breast Cancer|"",""|Diseases|Cancers|Cancers by Site|Breast Cancer|""]"
UPPER GASTROINTESTINAL,Upper Gastrointestinal Tract cancer,,0,0,null
OESOPHAGUS,Oesophagus cancer,,0,0,null
STOMACH,Stomach Cancer,D013274,0,0,null
GASTROINTESTINAL STROMAL TUMOURS,Gastrointestinal Stromal Tumours,,0,0,null
LIVER,Liver Cancer,D008113,0,0,null
BILE DUCT,Bile Duct Cancer,D001650,0,0,null
PANCREAS,Pancreatic Cancer,D010190,0,0,null
GALL BLADDER,Gall Bladder Cancer,D005706,0,0,null
LOWER GASTROINTESTINAL,Lower Gastrointestinal Cancer,,0,0,null
SMALL BOWEL,Small bowel cancer,,0,0,null
COLON,Colonic Cancer,D003110,0,0,null
RECTUM,Rectal Cancer,D012004,0,0,null
ANUS,Anal Cancer,D001005,0,0,null
GYNAECOLOGICAL,Gynaecological cancer,,0,0,null
