Types of commissioning,Types of commissioning,,0,0,null
Practice based commissioning,Practice based commissioning,,0,0,null
Strategic commissioning,Strategic commissioning,,0,0,null
Lead commissioning,Lead commissioning,,0,0,null
Joint commissioning,Joint commissioning,,0,0,null
Specialist commissioning,Specialist commissioning,,0,0,null
Personalised commissioning,Personalised commissioning,,0,0,null
GP commissioning,GP commissioning,,0,0,null
Commissioning process,Commissioning process,,0,0,null
Assessment and Planning,Assessment and Planning,,0,0,null
Demand management,Health Services Needs and Demand,D006301,0,112442,"[""|Health Care|Health Care Quality, Access, and Evaluation|Delivery of Health Care|Health Services Needs and Demand|"",""|Health Care|Health Services Administration|Patient Care Management|Delivery of Health Care|Health Services Needs and Demand|"",""|Health Care|Health Care Quality, Access, and Evaluation|Health Services Research|Health Services Needs and Demand|"",""|Health Care|Health Care Economics and Organizations|Health Planning|Health Services Research|Health Services Needs and Demand|""]"
Needs assessment,Needs Assessment,D020380,0,107908,"[""|Public Health Methods, Theory And Research|Health Research|Needs Assessment|""]"
Service development,Service development,,0,0,null
Service provision,Delivery of health care,D003695,0,0,null
Priority setting,Health Priorities,D006292,0,112479,"[""|Health Care|Health Care Quality, Access, and Evaluation|Delivery of Health Care|Health Priorities|"",""|Health Care|Health Services Administration|Patient Care Management|Delivery of Health Care|Health Priorities|"",""|Health Care|Health Care Economics and Organizations|Health Planning|Health Priorities|""]"
Cost effectiveness,Cost-Benefit Analysis,D003362,0,117400,"[""|Education, Sociology and Social Phenomena|Social Sciences|Economics|Costs and Cost Analysis|Cost-Benefit Analysis|""]"
Programme budgeting,Programme budgeting,,0,0,null
Social marketing/market research,Social Marketing,D040241,0,117596,"[""|Education, Sociology and Social Phenomena|Social Sciences|Economics|Financial Management|Marketing of Health Services|Social Marketing|""]"
De-commissioning,De-commissioning,,0,0,null
Service specification,Service specification,,0,0,null
Contracting and Procurement,Contracting and Procurement,,0,0,null
Contract management,Contract services,D003284,0,0,null
Purchasing,Group purchasing,D017754,0,0,null
Procurement,Procurement,,0,0,null
Tendering,Competitive bidding,D003164,0,0,null
Grants,"Financing, Organized",D005381,0,0,null
