DISEASES AND CONDITIONS,Disease,D004194,0,295121,"[""|Diseases|Pathological Conditions, Signs and Symptoms|Pathologic Processes|Disease|""]"
BLOOD DISORDERS,Haematologic Diseases,,0,0,null
CANCER,Cancer,D009369,0,0,null
CARDIOVASCULAR DISEASES,Cardiovascular Diseases,D002318,0,294270,"[""|Diseases|Cardiovascular Diseases|""]"
CLINICAL GENETICS,Genetics,D005823,0,108176,"[""|Determinants Of Health|Biological Composition|Genetics|""]"
DIABETES,Diabetes Mellitus,D003920,0,295074,"[""|Diseases|Endocrine System Diseases|Diabetes|Diabetes Mellitus|"",""|Diseases|Endocrine System Diseases|Diabetes Mellitus|"",""|Diseases|Nutritional and Metabolic Diseases|Metabolic Diseases|Glucose Metabolism Disorders|Diabetes Mellitus|""]"
EYES AND VISION,Eyes and vision,,0,0,null
GASTROENTEROLOGY,Gastroenterology,D005762,0,122673,"[""|Natural Science, Anatomy and Organisms|Natural Sciences|Biological Sciences|Health Occupations|Medicine|Specialties, Medical|Internal Medicine|Gastroenterology|""]"
INFECTIOUS DISEASES,Communicable Diseases,D003141,0,294463,"[""|Diseases|Bacterial Infections and Mycoses|Infection|Communicable Diseases|""]"
KIDNEY DISEASES,Kidney Diseases,D007674,0,0,null
MENTAL HEALTH,Mental Health,D008603,0,110126,"[""|Health, Public Health, Health Promotion|Health|Mental Health|""]"
MUSCULOSKELETAL,Musculoskeletal Diseases,D009140,0,294140,"[""|Diseases|Musculoskeletal Diseases|""]"
NEUROLOGICAL DISORDERS,Nervous System Diseases,D009422,0,294010,"[""|Diseases|Nervous System Diseases|""]"
ORAL HEALTH,Oral Health,D009909,0,358915,"[""|Health, Public Health, Health Promotion|Health|Oral And Dental Health|Oral Health|""]"
REPRODUCTIVE HEALTH,Reproductive Medicine,D018456,0,122599,"[""|Natural Science, Anatomy and Organisms|Natural Sciences|Biological Sciences|Health Occupations|Medicine|Specialties, Medical|Reproductive Medicine|""]"
RESPIRATORY DISORDERS,Respiratory Tract Diseases,D012140,0,294191,"[""|Diseases|Respiratory Tract Diseases|""]"
SKIN DISEASES,Skin Diseases,D012871,0,293837,"[""|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|""]"
ETHNICITY LINKED DISORDERS,Ethnicity Linked Disorders,,0,0,null
OTHER,Disease,D004194,0,295121,"[""|Diseases|Pathological Conditions, Signs and Symptoms|Pathologic Processes|Disease|""]"
SERVICE DELIVERY,Service Delivery,,0,0,null
CLIENT GROUPS,Client Groups,,0,0,null
CHILDREN AND YOUNG PEOPLE,Child,D002648 ,0,107590,"[""|People And Populations|Group|Age Group|Child|""]"
CHILDREN AND YOUNG PEOPLE,Adolescent ,D000293,0,0,null
OLDER PEOPLE,Elderly,D000368,0,0,null
PEOPLE WITH DISABILITIES,Disabled Persons,D006233,0,0,null
