INFECTIONS,Communicable Diseases,D003141,0,120569,"[""|Diseases|Bacterial Infections and Mycoses|Infection|Communicable Diseases|""]"
INFECTIONS,Infection,D007239,0,120152,"[""|Diseases|Bacterial Infections and Mycoses|Infection|""]"
INFECTIOUS DISEASES,Infectious Diseases,D003141,0,0,null
BRAIN AND SPINAL CORD INFECTIONS,Central nervous system diseases,D002493,0,0,null
CREUTZFELDT-JAKOB DISEASE (CJD),Creutzfeldt-Jacob Syndrome,D007562,0,0,null
ENCEPHALITIS,Encephalitis,D004660,0,118963,"[""|Diseases|Nervous System Diseases|Central Nervous System Diseases|Brain Diseases|Encephalitis|"",""|Diseases|Bacterial Infections and Mycoses|Central Nervous System Infections|Encephalitis|"",""|Diseases|Nervous System Diseases|Central Nervous System Diseases|Central Nervous System Infections|Encephalitis|"",""|Diseases|Bacterial Infections and Mycoses|Central Nervous System Infections|Central Nervous System Viral Diseases|Encephalitis|"",""|Diseases|Nervous System Diseases|Central Nervous System Diseases|Central Nervous System Infections|Central Nervous System Viral Diseases|Encephalitis|"",""|Diseases|Virus Diseases|Central Nervous System Viral Diseases|Encephalitis|""]"
MENINGITIS,Meningitis,D008581,0,0,null
EAR INFECTIONS,Ear Diseases,D004427,0,120756,"[""|Diseases|Otorhinolaryngologic Diseases|Ear Diseases|""]"
OTITIS EXTERNA,Otitis Externa,D010032,0,119607,"[""|Diseases|Otorhinolaryngologic Diseases|Ear Diseases|Otitis|Otitis Externa|""]"
OTITIS MEDIA,Otitis Media,D010033,0,0,null
EYE INFECTIONS,Eye Diseases,D005128,0,121831,"[""|Diseases|Eye Diseases|""]"
CONJUNCTIVITIS,Conjunctivitis,D003231,0,121526,"[""|Diseases|Eye Diseases|Conjunctival Diseases|Conjunctivitis|""]"
TRACHOMA,Trachoma,D014141,0,121544,"[""|Diseases|Eye Diseases|Conjunctival Diseases|Conjunctivitis|Conjunctivitis, Bacterial|Trachoma|"",""|Diseases|Eye Diseases|Eye Infections|Eye Infections, Bacterial|Conjunctivitis, Bacterial|Trachoma|"",""|Diseases|Eye Diseases|Corneal Diseases|Trachoma|""]"
GASTROINTESTINAL INFECTIONS,Gastrointestinal diseases,D005767,0,0,null
GASTROINTESTINAL INFECTIONS,Communicable Diseases,D003141,0,120569,"[""|Diseases|Bacterial Infections and Mycoses|Infection|Communicable Diseases|""]"
CAMPYLOBACTER,Campylobacter,D002167,0,0,null
CHOLERA,Cholera,D002771,0,120514,"[""|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Vibrio Infections|Cholera|""]"
ESCHERICHIA COLI INFECTION,Escherichia coli Infections,D004927,0,120767,"[""|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Enterobacteriaceae Infections|Escherichia coli Infections|""]"
GASTROENTERITIS,Gastroenteritis,D005759,0,0,null
LISTERIOSIS,Listeriosis,,0,0,null
NOROVIRUS,Norovirus,D029322,0,118290,"[""|Natural Science, Anatomy and Organisms|Organisms|Viruses|Vertebrate Viruses|RNA Viruses|Caliciviridae|Norovirus|"",""|Natural Science, Anatomy and Organisms|Organisms|Viruses|RNA Viruses|Caliciviridae|Norovirus|""]"
ROTAVIRUS,Rotavirus,D012401,0,117847,"[""|Natural Science, Anatomy and Organisms|Organisms|Viruses|Vertebrate Viruses|RNA Viruses|Reoviridae|Rotavirus|"",""|Natural Science, Anatomy and Organisms|Organisms|Viruses|RNA Viruses|Reoviridae|Rotavirus|""]"
SALMONELLA,Salmonella,D012475,0,0,null
SHIGELLA,Shigella,D012760,0,0,null
TYPHOID,Typhoid fever,D014435,0,0,null
HEALTHCARE ASSOCIATED INFECTIONS AND ANTIMICROBIAL RESISTANCE,"Infectious Disease Transmission, Professional-to-Patient",D017757,0,0,null
HEALTHCARE ASSOCIATED INFECTIONS AND ANTIMICROBIAL RESISTANCE,Blood-Borne Pathogens,D017848,0,0,null
ANTIMICROBIAL RESISTANCE,"Drug Resistance, Microbial",D004352,0,122505,"[""|Natural Science, Anatomy and Organisms|Natural Sciences|Biological Sciences|Chemical and Pharmacologic Phenomena|Drug Resistance|Drug Resistance, Microbial|"",""|Natural Science, Anatomy and Organisms|Natural Sciences|Biological Sciences|Biological Phenomena, Cell Phenomena, and Immunity|Biological Phenomena|Microbiologic Phenomena|Drug Resistance, Microbial|""]"
