WOMEN'S HEALTH,Women's Health,D016387,0,253551,"[""|NHS Evidence|Tags|MeSH (purged)|Health Care|Population Characteristics|Health|Women's Health|""]"
SEXUAL HEALTH,Sexually Transmitted Diseases,D012749,0,250915,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|""]"
BACTERIAL VAGINOSIS,"Vaginosis, bacterial",D016585,0,0,null
CANDIDA,Candida,D002175,0,216804,"[""|NHS Evidence|Tags|MeSH (purged)|Organisms|Fungi|Mitosporic Fungi|Candida|"",""|NHS Evidence|Tags|MeSH (purged)|Organisms|Fungi|Yeasts|Candida|""]"
CANDIDA,"Candidiasis, Vulvovaginal",D002181,0,216811,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Mycoses|Candidiasis|Candidiasis, Vulvovaginal|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Vaginal Diseases|Vaginitis|Vulvovaginitis|Candidiasis, Vulvovaginal|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Vulvar Diseases|Vulvitis|Vulvovaginitis|Candidiasis, Vulvovaginal|""]"
CHANCROID,Chancroid,D002602,0,217432,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Pasteurellaceae Infections|Haemophilus Infections|Chancroid|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Sexually Transmitted Diseases, Bacterial|Chancroid|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chancroid|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chancroid|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chancroid|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chancroid|""]"
CHLAMYDIA,Chlamydia,D002689,0,217568,"[""|NHS Evidence|Tags|MeSH (purged)|Organisms|Bacteria|Gram-Negative Bacteria|Chlamydiales|Chlamydiaceae|Chlamydia|""]"
CHILDREN AND YOUNG PEOPLE,Child,D002648,0,217501,"[""|NHS Evidence|Tags|MeSH (purged)|Persons|Age Groups|Child|""]"
CHILDREN AND YOUNG PEOPLE,Adolescent,D000293,0,213580,"[""|NHS Evidence|Tags|MeSH (purged)|Persons|Age Groups|Adolescent|""]"
DONOVANOSIS,Granuloma Inguinale,D006100,0,221950,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Enterobacteriaceae Infections|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Sexually Transmitted Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Skin Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Skin Diseases, Infectious|Skin Diseases, Bacterial|Granuloma Inguinale|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|Skin Diseases, Infectious|Skin Diseases, Bacterial|Granuloma Inguinale|""]"
FEMALE GENITAL MUTILATION,"Circumcision, Female",D019093,0,0,null
GENITAL HERPES,Herpes Genitalis,D006558,0,220949,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|DNA Virus Infections|Herpesviridae Infections|Herpes Simplex|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Skin Diseases, Infectious|Skin Diseases, Viral|Herpes Simplex|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|Skin Diseases, Infectious|Skin Diseases, Viral|Herpes Simplex|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Skin Diseases, Viral|Herpes Simplex|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Viral|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Viral|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Viral|Herpes Genitalis|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Viral|Herpes Genitalis|""]"
GENITAL WARTS (HPV),Condylomata Acuminata,D003218,0,0,null
GONORRHOEA,Gonorrhea,D006069,0,221913,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Neisseriaceae Infections|Gonorrhea|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Sexually Transmitted Diseases, Bacterial|Gonorrhea|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Gonorrhea|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Gonorrhea|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Gonorrhea|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Gonorrhea|""]"
HIV,HIV,D006678,0,221047,"[""|NHS Evidence|Tags|MeSH (purged)|Organisms|Viruses|Vertebrate Viruses|Oncogenic Viruses|Retroviridae|Lentivirus|Lentiviruses, Primate|HIV|"",""|NHS Evidence|Tags|MeSH (purged)|Organisms|Viruses|Vertebrate Viruses|RNA Viruses|Retroviridae|Lentivirus|Lentiviruses, Primate|HIV|"",""|NHS Evidence|Tags|MeSH (purged)|Organisms|Viruses|RNA Viruses|Retroviridae|Lentivirus|Lentiviruses, Primate|HIV|""]"
LGV,Lymphogranuloma Venereum ,D008219,0,247029,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Gram-Negative Bacterial Infections|Chlamydiaceae Infections|Chlamydia Infections|Lymphogranuloma Venereum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Bacterial Infections|Sexually Transmitted Diseases, Bacterial|Chlamydia Infections|Lymphogranuloma Venereum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chlamydia Infections|Lymphogranuloma Venereum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Male Urogenital Diseases|Genital Diseases, Male|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chlamydia Infections|Lymphogranuloma Venereum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chlamydia Infections|Lymphogranuloma Venereum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Sexually Transmitted Diseases|Sexually Transmitted Diseases, Bacterial|Chlamydia Infections|Lymphogranuloma Venereum|""]"
LICHEN SCLEROSUS,Lichen Sclerosus et Atrophicus,D018459,0,254274,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|Skin Diseases, Papulosquamous|Lichenoid Eruptions|Lichen Sclerosus et Atrophicus|""]"
LICHEN SCLEROSUS,Vulvar Lichen Sclerosus,D007724,0,246529,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Vulvar Diseases|Vulvar Lichen Sclerosus|""]"
MOLLUSCUM CONTAGIOSUM,Molluscum Contagiosum,D008976,0,247769,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|DNA Virus Infections|Poxviridae Infections|Molluscum Contagiosum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Skin Diseases, Infectious|Skin Diseases, Viral|Molluscum Contagiosum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Skin and Connective Tissue Diseases|Skin Diseases|Skin Diseases, Infectious|Skin Diseases, Viral|Molluscum Contagiosum|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Virus Diseases|Skin Diseases, Viral|Molluscum Contagiosum|""]"
PUBLIC HEALTH,Public health,D011634,0,0,null
PELVIC INFLAMMATORY DISEASE,Pelvic Inflammatory Disease,D000292,0,213578,"[""|NHS Evidence|Tags|MeSH (purged)|Diseases|Female Urogenital Diseases and Pregnancy Complications|Female Urogenital Diseases|Genital Diseases, Female|Adnexal Diseases|Pelvic Inflammatory Disease|"",""|NHS Evidence|Tags|MeSH (purged)|Diseases|Bacterial Infections and Mycoses|Infection|Pelvic Infection|Pelvic Inflammatory Disease|""]"
PROVISION OF CARE,Delivery of Health Care,D003695,0,215404,"[""|NHS Evidence|Tags|MeSH (purged)|Health Care|Health Care Quality, Access, and Evaluation|Delivery of Health Care|"",""|NHS Evidence|Tags|MeSH (purged)|Health Care|Health Services Administration|Patient Care Management|Delivery of Health Care|"",""|NHS Evidence|Tags|MeSH (purged)|Physical Sciences|Natural Sciences|Biological Sciences|Health Occupations|Health Services Administration|Patient Care Management|Delivery of Health Care|""]"
PROVISION OF CARE,Patient Care,D005791,0,213717,"[""|NHS Evidence|Tags|MeSH (purged)|Health Care|Health Care Facilities, Manpower, and Services|Health Services|Patient Care|"",""|NHS Evidence|Tags|MeSH (purged)|Analytical, Diagnostic and Therapeutic Techniques and Equipment|Therapeutics|Patient Care|""]"
PSYCHOSEXUAL PROBLEMS,"Sexual Dysfunctions, Psychological",D020018,0,219863,"[""|NHS Evidence|Tags|MeSH (purged)|Psychiatry and Pscychology|Mental Disorders|Sexual and Gender Disorders|Sexual Dysfunctions, Psychological|""]"
SEXUAL ASSAULT,Sex offenses,D012742,0,0,null
